
The Device is cuda
Epoch: 1, Loss: 5.629325239092561 , Perplexity:325.03071439868535
VALID: Epoch: 1, Loss: 17.83546388474249 , Perplexity:224.83577802384124
Epoch: 2, Loss: 5.012303883037241 , Perplexity:165.37403078023385
VALID: Epoch: 2, Loss: 15.88054715056327 , Perplexity:184.33542503800905
Epoch: 3, Loss: 4.746709474141884 , Perplexity:124.79290776691856
VALID: Epoch: 3, Loss: 15.039060953434914 , Perplexity:196.09854203195482
Epoch: 4, Loss: 4.6102230136777145 , Perplexity:108.13012577735822
VALID: Epoch: 4, Loss: 14.606629137369259 , Perplexity:205.14459361584795
Epoch: 5, Loss: 4.5276696087639445 , Perplexity:99.51146543071373
Epoch 00005: reducing learning rate of group 0 to 5.0000e-04.
VALID: Epoch: 5, Loss: 14.345074118007929 , Perplexity:244.80036805297914
Epoch: 6, Loss: 4.404679594380048 , Perplexity:87.31160563135143
VALID: Epoch: 6, Loss: 13.955403266429713 , Perplexity:232.50246405263795
