300
The Device is cuda
Epoch: 1, Loss: 5.920143666774618 , Perplexity:447.8848120539326
VALID: Epoch: 1, Loss: 18.756867666481888 , Perplexity:247.51009458947314
Epoch: 2, Loss: 5.0610445812911315 , Perplexity:173.99164387940502
VALID: Epoch: 2, Loss: 16.034972934560876 , Perplexity:163.33260340831487
Epoch: 3, Loss: 4.653479727534437 , Perplexity:113.77391273345292
VALID: Epoch: 3, Loss: 14.743679942749367 , Perplexity:152.89500182170568
Epoch: 4, Loss: 4.4454481514006545 , Perplexity:91.3628051877698
VALID: Epoch: 4, Loss: 14.084570812359482 , Perplexity:167.69677091315407
Epoch: 5, Loss: 4.313371573916871 , Perplexity:79.85805040450036
VALID: Epoch: 5, Loss: 13.666110885515367 , Perplexity:181.616872422995
Epoch: 6, Loss: 4.2163604154656955 , Perplexity:71.99794795525642
Epoch 00006: reducing learning rate of group 0 to 2.5000e-04.
VALID: Epoch: 6, Loss: 13.358749178830271 , Perplexity:190.54292002080368
Epoch: 7, Loss: 4.067749993642647 , Perplexity:61.76754393453165
VALID: Epoch: 7, Loss: 12.887904859352187 , Perplexity:191.19185613488435
Epoch: 8, Loss: 4.000676925587586 , Perplexity:57.64011139270688
VALID: Epoch: 8, Loss: 12.675396391263078 , Perplexity:202.46837264426395
Epoch: 9, Loss: 3.9505840394990166 , Perplexity:54.770649876372595
Epoch 00009: reducing learning rate of group 0 to 1.2500e-04.
VALID: Epoch: 9, Loss: 12.516686453078869 , Perplexity:212.09129984652967
