300
The Device is cuda
Epoch: 1, Loss: 5.588318628538783 , Perplexity:323.4080681875323
VALID: Epoch: 1, Loss: 17.705542110727976 , Perplexity:224.68885255628481
Epoch: 2, Loss: 4.919129805874685 , Perplexity:151.69025414678387
VALID: Epoch: 2, Loss: 15.585342518099209 , Perplexity:195.8225566294119
Epoch: 3, Loss: 4.54382755765595 , Perplexity:102.08266043372784
VALID: Epoch: 3, Loss: 14.39626755623985 , Perplexity:214.87595048234525
Epoch: 4, Loss: 4.327824966258458 , Perplexity:81.41142653742969
VALID: Epoch: 4, Loss: 13.711903755206075 , Perplexity:253.86134131013924
Epoch: 5, Loss: 4.178638917428476 , Perplexity:69.81339576968412
Epoch 00005: reducing learning rate of group 0 to 2.5000e-04.
VALID: Epoch: 5, Loss: 13.239235669244941 , Perplexity:316.97998305701907
Epoch: 6, Loss: 3.957429114653443 , Perplexity:55.41081806689006
VALID: Epoch: 6, Loss: 12.538373793127601 , Perplexity:352.28590820336154
Epoch: 7, Loss: 3.840621452584857 , Perplexity:49.24644387906614
VALID: Epoch: 7, Loss: 12.168290568264705 , Perplexity:416.89764413641734
Epoch: 8, Loss: 3.758747312073875 , Perplexity:45.299653808500295
Epoch 00008: reducing learning rate of group 0 to 1.2500e-04.
VALID: Epoch: 8, Loss: 11.908887671086685 , Perplexity:446.4177880727569
Epoch: 9, Loss: 3.6347541487979567 , Perplexity:39.85790204854368
VALID: Epoch: 9, Loss: 11.5160385299134 , Perplexity:509.0697063042144
